OBJECTID,Site,SOC,SAND,CLAY,ANPP_MAP_E,MAT,MAP,LIG,N,CN,CDI,SAND2,CLAY2,LAT,LONG,L1,ELEVATION,ASPECT_CLA,SLOPE,CURVATURE,GOOGLE_DIR,Kormos_MAP,Kormos_MAT,canopy_hei,rcew_veg_c,predicted_,rcew_DEM_3,pred_MAP
42,S34,3.714852941,80.00676471,13.98132353,740.799376,7.2,626.08,16.6,1.37,36.496,0,0,0,43.1242439,-116.7916884,Johnston Draw,1695.21,Southeast,15.3,-0.56,Nicholas_Patton,626.9069824,7.1999998,0.0495352,0,583.2750244,1695.540039,580.1550903
43,S35,3.323333333,46.9,14.86333333,747.77166,6.9,630.3,16.6,1.37,36.496,0,0,0,43.12449119,-116.794308,Johnston Draw,1737.62,Northeast,15,-2.09,Nicholas_Patton,630.5609741,6.9000001,4.1763201,43.9603004,1548.829956,1737.73999,848.3985596
44,S36,1.155,82.445,10.38,706.351006,7.5,605.23,16.6,1.37,36.496,0,0,0,43.12453364,-116.7860349,Johnston Draw,1630.11,Southeast,22.2,3.73,Nicholas_Patton,607.1430054,7.5,0.214884,38.8101006,316.2359924,1630.540039,533.5476074
45,S37,1.470181818,77.40709091,11.43563636,630.481982,7.6,559.31,16.6,1.37,36.496,0,0,0,43.12565165,-116.7811645,Johnston Draw,1608.03,Southeast,9,2.11,Nicholas_Patton,561.1699829,7.5999999,0.148417,29.1259003,408.1010132,1608.01001,516.8635864
46,S38,0.782,78.13885714,10.04085714,730.456604,7.3,619.82,16.6,1.37,36.496,0,0,0,43.12568301,-116.78562,Johnston Draw,1661.93,Southeast,23.2,1.7,Nicholas_Patton,620.1480103,7.3016901,0.0797509,31.1634998,424.7359924,1661.709961,555.6414185
47,S39,1.615,71.725,17.475,756.85876,7.1,635.8,16.6,1.37,36.496,0,0,0,43.12611188,-116.7890521,Johnston Draw,1699.9,Southwest,14.4,1.11,Nicholas_Patton,635.9730225,7.1237402,0.138473,17.9342003,438.8479919,1699.619995,583.071106
48,S40,1.124545455,79.06090909,10.56545455,765.94586,7.1,641.3,16.6,1.37,36.496,0,0,0,43.12633701,-116.788065,Johnston Draw,1706.59,South,19.8,0.42,Nicholas_Patton,641.9979858,7.0999999,0.181163,51.5502014,281.394989,1706.609985,588.0704956
49,S41,0.78,75.69333333,14.255,764.425836,7.1,640.38,16.6,1.37,36.496,0,0,0,43.12667447,-116.7868472,Johnston Draw,1710.94,Southeast,16.7,0.67,Nicholas_Patton,640.8530273,7.0999999,0.148294,58.0285988,551.1129761,1710.719971,590.9714966
50,S42,1.15,76.25166667,10.49,808.73784,6.9,667.2,16.6,1.37,36.496,0,0,0,43.12749278,-116.7897313,Johnston Draw,1742.32,Southeast,19,0.32,Nicholas_Patton,661.7670288,6.9000001,0.0469767,21.0716991,309.7000122,1742.599976,625.2254028
51,S43,3.33,68.654,13.516,763.583214,6.9,639.87,16.6,1.37,36.496,0,0,0,43.12752508,-116.7925417,Johnston Draw,1748.87,Southeast,12.8,-0.47,Nicholas_Patton,643.1760254,6.9000001,0.0691423,12.8083,509.7090149,1748.469971,618.1970215
52,S44,2.381090909,54.07272727,22.69254545,744.004644,6.8,628.02,16.6,1.37,36.496,0,0,0,43.12848567,-116.7966359,Johnston Draw,1778.24,Southeast,7.1,1.22,Nicholas_Patton,628.2810059,6.8000002,0.16718,47.3296013,878.5880127,1778.150024,639.6540527
53,S45,8.014,44.21,21.93,744.979442,6.8,628.61,16.6,1.37,36.496,0,0,0,43.12863212,-116.7968813,Johnston Draw,1781.22,Southeast,7.3,-1.16,Nicholas_Patton,628.9050293,6.8000002,0.771199,29.7826004,1295.589966,1781.459961,642.039978
54,S46,4.1542,72.6544,17.443,775.429488,6.8,647.04,16.6,1.37,36.496,0,0,0,43.12875942,-116.7929445,Johnston Draw,1774.37,Southeast,15.8,-0.99,Nicholas_Patton,646.9420166,6.8000002,0.315186,51.0568008,613.9910278,1774.189941,636.7307739
55,S47,1.82,69.02,11.26,769.74592,6.7,643.6,16.6,1.37,36.496,0,0,0,43.12971095,-116.7934963,Johnston Draw,1787.2,East,13.4,-0.69,Nicholas_Patton,643.1439819,6.6999998,1.60596,47.4474983,831.276001,1786.900024,752.8339233
56,S48,1.283333333,47.45833333,19.43166667,746.152504,6.7,629.32,16.6,1.37,36.496,0,0,0,43.13058584,-116.7985533,Johnston Draw,1799.81,East,10.5,0.26,Nicholas_Patton,628.9910278,6.6999998,0.0417983,0,503.3420105,1799.810059,763.4360352
57,S49,3.56952381,59.81142857,20.72380952,749.109942,6.7,631.11,16.6,1.37,36.496,0,0,0,43.13104556,-116.7960652,Johnston Draw,1788.23,Southwest,2.7,0.02,Nicholas_Patton,630.6810303,6.6999998,0.0799715,4.8996,230.2749939,1788.150024,647.0800171
58,S50,1.783333333,62.605,12.33166667,789.770584,6.6,655.72,16.6,1.37,36.496,0,0,0,43.13301998,-116.7920531,Johnston Draw,1809.04,West,5.7,0.24,Nicholas_Patton,654.4829712,6.5999999,0.0264212,0,157.8029938,1809.089966,771.8782959
59,S51,1.247222222,57.94166667,12.01333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14377305,-116.7690419,S25Aa,NA,NA,NA,NA,Ryan_Will,516.8560181,8.3999996,0.0557592,11.8114004,154.9299927,1513.630005,455.0403137
60,S51,1.247222222,57.94166667,12.01333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14377305,-116.7690419,S25Ab,NA,NA,NA,NA,Ryan_Will,516.8560181,8.3999996,0.0557592,11.8114004,154.9299927,1513.630005,455.0403137
61,S51,1.247222222,57.94166667,12.01333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14377305,-116.7690419,S25Ac,NA,NA,NA,NA,Ryan_Will,516.8560181,8.3999996,0.0557592,11.8114004,154.9299927,1513.630005,455.0403137
